videoId, media, bias, youtube_channel, viewCount, subscribersCount, videoCount
64J4p-e0Ff8,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
iUtKGBagObc,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
zyW7RgHQPqo,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
VX7Qpg3rJPU,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
_JfPW_lOvog,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
kOprV9G-elY,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
NKGJqif4ubg,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
EeoIx0X9JVc,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
VESjg3o_qGc,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
RBTiTcHm_ac,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
KnMKCHqXLow,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
xFcF_qfLHeQ,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
n3IYmdy6d4Y,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
NAN1kt4SG9E,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
95Tc0Rk2cNg,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
qAOKOJhzYXk,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
CaI5LWj6ams,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
G6717bNakuA,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
NpiDADw5Omw,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
QWveXdj6oZU,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
P8aW1Ae6gcI,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
9AEMKudv5p0,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
zDbq7y20wpw,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
yqmso0c9CBs,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
XwNUmnDu1r8,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
QMbHLF_zwjs,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
NUMa0QkPzns,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
FN3VFgG922A,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
LVWTQcZbLgY,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
d2wy7Fp2fqw,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
lw08dtKt4oY,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
-E4OqN9tJnw,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
9UJzVLXmBG4,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
3R3cvbLsbAk,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
UygPcBCFRrA,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
v9gPAj7lXU0,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
a_wuykzfFzE,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
NUSiLOwkrIw,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
i5C-DQ0edR0,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
k2APYPjTWZ8,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
UdbOhvjIJxI,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
gMqZR3pqMjg,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
VGzpv96AQKg,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
EvXROXiIpvQ,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
kTw05gC2T9Y,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
K-NBcP0YUQI,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
lOEqzt36JEM,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
rCT-UL2M8Gc,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
vubuBrcAwtY,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
ZgJyhKEZ8QU,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
sQvjD2-p98U,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
b5i0aY_rUZU,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
waeXBCUkuL8,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
StW7oGSR_Mg,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
U2gvha4CipY,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
iMtXqTmfta0,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
YPE928xUKL4,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
KcrAkPNB8jc,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
aKyvGHycngM,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
5w30XgACSAg,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
Tct38KwROdw,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
h81SuD2pltM,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
14NTlDvmzyc,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
lM6rliphNdw,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
k27mr6p-yhY,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
XRCj8LVTRyA,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
J0KHiiTtt4w,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
KSO5vRGsD1M,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
mVKuCbjFfIY,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
IVjmIovOPek,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
E21NATEP9QI,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
cIsewG2g-1g,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
9hdT8PgT19w,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
2-MLV_RJ6KQ,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
SENzTt3ftiU,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
c1gCtoxyfF8,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
ZORzsubQA_M,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
z_yIn8V3UcU,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
BXmyPsqkP44,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
8R-FQTY4KJk,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
Nd3zqXro_P0,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
zSjYra7cYqY,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
VUFQCIuVuLc,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
ZRDIHcFRPFs,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
XKVDXbIpW9Q,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
l2Pll0V4HdM,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
Lf3ER5Ope_s,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
_a1lp_ygGB4,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
SrXHVZHhtG8,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
LkWldwFdTPo,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
JdKV1L1DJHc,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
Fx-KrvuiafE,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
4oqfodY2Lz0,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
mh9B5UJbbRg,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
luTPMHC7zHY,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
hIWPzcqel9I,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
pS0GGcz7wN4,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
OFJrow7yaec,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
FNGp1aviGvE,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
CvSW5Ez0koM,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
t-osG0F2MZM,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
SxpQKzUNQdA,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
kIID5FDi2JQ,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
yY96hTb8WgI,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
GzvfpyyZO9o,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
TVe5XPU10Zc,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
1W_zM7koJy8,vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
